S.NO.,PLAYER NAME,TEAM NAME,BASE VALUE,PLAYER VALUE,🔒 Row ID,CONTRACT 
139,,,,,S6XatwI.Ttu7fw9iPI1hdQ,
140,,,,,LZ16MMwiRFeJhhZcMmKb7w,
141,,,,,hcn6xLghT9yJE8szGXX95A,
142,,,,,a-PkCbaEAQ1uHG9ua8Wa1uQ,
143,,,,,bylNzJWYROqY79GLn3meyQ,
144,,,,,OOHZfYAlT8u24txrF8pzTg,
145,,,,,ls843M9wStKZYWb92StRIA,
146,,,,,TDxNQ3U7T.yKyAnuIBhMpA,
147,,,,,KlaFOwTSTRWctqZgbcu5RA,
148,,,,,0cTv1zIySy-Prd.onKx7Dg,
149,,,,,2wzVE0jZQy6PUsq45CEkgw,
150,,,,,vaVTVcPhTzGuZqOebBIsBA,
151,,,,,le1mGWPkTYWcHiXRT7TeZA,
152,,,,,52Cn-SeTSjuPs5i4OXqvqg,
153,,,,,jikbXVg3Rii1WATSIvF38A,
154,,,,,v1fpzdXsRIaoEZgVKqWj7g,
155,,,,,WcE2WvTGSGKDTnnvuLdWEQ,
156,,,,,ZalAllBCQ2W1ewHIrS.fxg,
